"","STATION","GEAR_DESC","YEAR","MONTH","DAY","Time","SAL","Temp_C","O2_MG_L","ITIS","Genus_species","sp_desc","Length","Weight","Total_Wgt","Total_NUM"
"1",26,"Trawl",1981,3,12,"10:12:00.000",22,15,8.2,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",83,NA,6.3,1
"2",32,"Trawl",1981,3,11,"9:55:00.000",32,17.8,8,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",95,NA,22.4,2
"3",32,"Trawl",1981,3,11,"9:55:00.000",32,17.8,8,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",103,NA,22.4,2
"4",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",92,NA,186.7,25
"5",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",90,NA,186.7,25
"6",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",108,NA,186.7,25
"7",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",100,NA,186.7,25
"8",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",89,NA,186.7,25
"9",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",110,NA,186.7,25
"10",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",96,NA,186.7,25
"11",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",90,NA,186.7,25
"12",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",100,NA,186.7,25
"13",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",110,NA,186.7,25
"14",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",91,NA,186.7,25
"15",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",101,NA,186.7,25
"16",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",112,NA,186.7,25
"17",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",104,NA,186.7,25
"18",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",111,NA,186.7,25
"19",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",92,NA,186.7,25
"20",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",95,NA,186.7,25
"21",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",105,NA,186.7,25
"22",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",111,NA,186.7,25
"23",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",92,NA,186.7,25
"24",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",90,NA,186.7,25
"25",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",90,NA,186.7,25
"26",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",95,NA,186.7,25
"27",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",102,NA,186.7,25
"28",7,"Trawl",1981,4,10,"12:50:00.000",13,21,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",82,NA,186.7,25
"29",8,"Trawl",1981,4,12,"11:50:00.000",11,23,7.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",125,NA,15.4,1
"30",10,"Trawl",1981,4,22,"13:45:00.000",4,25,6.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",81,NA,16.4,3
"31",10,"Trawl",1981,4,22,"13:45:00.000",4,25,6.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",85,NA,16.4,3
"32",10,"Trawl",1981,4,22,"13:45:00.000",4,25,6.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",105,NA,16.4,3
"33",26,"Trawl",1981,4,2,"10:50:00.000",20,21.1,7,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",89,NA,23.6,4
"34",26,"Trawl",1981,4,2,"10:50:00.000",20,21.1,7,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",90,NA,23.6,4
"35",26,"Trawl",1981,4,2,"10:50:00.000",20,21.1,7,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",97,NA,23.6,4
"36",26,"Trawl",1981,4,2,"10:50:00.000",20,21.1,7,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",90,NA,23.6,4
"37",27,"Trawl",1981,4,7,"",6,20,9.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",82,NA,41.8,10
"38",27,"Trawl",1981,4,7,"",6,20,9.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",53,NA,41.8,10
"39",27,"Trawl",1981,4,7,"",6,20,9.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",91,NA,41.8,10
"40",27,"Trawl",1981,4,7,"",6,20,9.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",65,NA,41.8,10
"41",27,"Trawl",1981,4,7,"",6,20,9.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",107,NA,41.8,10
"42",27,"Trawl",1981,4,7,"",6,20,9.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",82,NA,41.8,10
"43",27,"Trawl",1981,4,7,"",6,20,9.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",108,NA,41.8,10
"44",27,"Trawl",1981,4,7,"",6,20,9.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",103,NA,41.8,10
"45",27,"Trawl",1981,4,7,"",6,20,9.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",90,NA,41.8,10
"46",27,"Trawl",1981,4,7,"",6,20,9.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",48,NA,41.8,10
"47",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",105,NA,75.2,10
"48",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",122,NA,75.2,10
"49",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",79,NA,75.2,10
"50",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",91,NA,75.2,10
"51",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",96,NA,75.2,10
"52",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",104,NA,75.2,10
"53",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",107,NA,75.2,10
"54",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",96,NA,75.2,10
"55",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",114,NA,75.2,10
"56",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",103,NA,75.2,10
"57",32,"Trawl",1981,4,22,"9:50:00.000",30,24.4,2.6,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",62,NA,NA,1
"58",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",124,NA,36.3,4
"59",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",116,NA,36.3,4
"60",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",89,NA,36.3,4
"61",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",85,NA,36.3,4
"62",7,"Trawl",1981,5,1,"14:00:00.000",25,25.6,5.8,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",123,NA,15.7,1
"63",8,"Trawl",1981,5,1,"10:20:00.000",30,24.4,6.4,551574,"FARFANTEPENAEUS DUORARUM","UNCLASSFD",72,NA,12.4,5
